date,open,high,low,close,volume
2025-11-03,450.00,452.50,449.00,451.00,50000000
2025-11-04,451.50,453.00,450.50,452.00,51000000
2025-11-05,452.50,454.00,451.00,453.00,52000000
2025-11-06,453.00,455.00,452.00,454.00,53000000
2025-11-07,454.50,456.00,453.00,455.00,54000000
2025-11-10,455.50,457.00,454.00,456.00,55000000
2025-11-11,456.00,458.00,455.00,457.00,56000000
2025-11-12,457.50,459.00,456.00,458.00,57000000
2025-11-13,458.00,460.00,457.00,459.00,58000000
2025-11-14,459.50,461.00,458.00,460.00,59000000
2025-11-17,460.00,462.00,459.00,461.00,60000000
2025-11-18,461.50,463.00,460.00,462.00,61000000
2025-11-19,462.00,464.00,461.00,463.00,62000000
2025-11-20,463.50,465.00,462.00,464.00,63000000
2025-11-21,464.00,466.00,463.00,465.00,64000000
2025-11-24,465.50,467.00,464.00,466.00,65000000
2025-11-25,466.00,468.00,465.00,467.00,66000000
2025-11-26,467.50,469.00,466.00,468.00,67000000
2025-11-27,468.00,470.00,467.00,469.00,68000000
2025-11-28,469.50,471.00,468.00,470.00,69000000
2025-12-01,470.00,472.00,469.00,471.00,70000000

